show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
s1025,TV Show,Title_25,Anurag Kashyap,United States,5/28/2021,2009,TV-14,6 Seasons,Action,A action themed tv show exploring unique stories.
s1026,TV Show,Title_26,Sanjay Leela Bhansali,Japan,7/2/2022,2024,PG-13,8 Seasons,Romance,A romance themed tv show exploring unique stories.
s1027,TV Show,Title_27,Christopher Nolan,India,6/30/2015,2024,TV-G,3 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1028,TV Show,Title_28,Anurag Kashyap,Japan,9/7/2024,2009,PG-13,5 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1029,TV Show,Title_29,Raj Kumar,Japan,10/17/2021,2012,R,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1030,Movie,Title_30,Unknown,United States,1/27/2019,2018,TV-MA,168 min,Thriller,A thriller themed movie exploring unique stories.
s1031,Movie,Title_31,Unknown,United States,7/2/2017,2010,PG-13,175 min,Drama,A drama themed movie exploring unique stories.
s1032,TV Show,Title_32,Sanjay Leela Bhansali,Japan,4/7/2019,2012,TV-G,3 Seasons,Action,A action themed tv show exploring unique stories.
s1033,TV Show,Title_33,Zoya Akhtar,Japan,10/14/2020,2020,PG,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1034,TV Show,Title_34,Sanjay Leela Bhansali,Japan,11/10/2017,2007,TV-MA,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1035,Movie,Title_35,Zoya Akhtar,United States,6/24/2019,2007,TV-14,161 min,Action,A action themed movie exploring unique stories.
s1036,TV Show,Title_36,Sanjay Leela Bhansali,Japan,8/28/2021,2003,R,2 Seasons,Action,A action themed tv show exploring unique stories.
s1037,Movie,Title_37,Sanjay Leela Bhansali,Japan,6/27/2019,2014,TV-14,117 min,Documentary,A documentary themed movie exploring unique stories.
s1038,Movie,Title_38,Sanjay Leela Bhansali,Canada,5/2/2019,2010,TV-G,92 min,Documentary,A documentary themed movie exploring unique stories.
s1039,Movie,Title_39,Zoya Akhtar,India,9/17/2020,2010,TV-G,104 min,Comedy,A comedy themed movie exploring unique stories.
s1040,Movie,Title_40,Zoya Akhtar,United Kingdom,8/1/2018,2000,TV-14,93 min,Comedy,A comedy themed movie exploring unique stories.
s1041,Movie,Title_41,Sanjay Leela Bhansali,India,4/1/2017,2016,TV-MA,143 min,Comedy,A comedy themed movie exploring unique stories.
s1042,TV Show,Title_42,Anurag Kashyap,Canada,8/24/2016,2014,TV-14,6 Seasons,Drama,A drama themed tv show exploring unique stories.
s1043,TV Show,Title_43,Christopher Nolan,United Kingdom,6/9/2019,2019,PG-13,4 Seasons,Romance,A romance themed tv show exploring unique stories.
s1044,TV Show,Title_44,Christopher Nolan,Japan,2/23/2017,2005,TV-14,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1045,TV Show,Title_45,Christopher Nolan,Canada,4/30/2024,2023,R,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1046,TV Show,Title_46,Zoya Akhtar,Japan,4/26/2018,2021,R,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1047,Movie,Title_47,Zoya Akhtar,United States,11/1/2016,2024,PG,132 min,Drama,A drama themed movie exploring unique stories.
s1048,TV Show,Title_48,Anurag Kashyap,South Korea,6/20/2018,2014,R,7 Seasons,Romance,A romance themed tv show exploring unique stories.
s1049,TV Show,Title_49,Christopher Nolan,Canada,1/1/2018,2008,TV-14,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1050,Movie,Title_50,Christopher Nolan,United States,12/1/2021,2013,R,160 min,Romance,A romance themed movie exploring unique stories.
s1051,TV Show,Title_51,Sanjay Leela Bhansali,Canada,6/20/2020,2017,TV-MA,7 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1052,Movie,Title_52,Zoya Akhtar,Canada,2/21/2022,2016,R,64 min,Drama,A drama themed movie exploring unique stories.
s1053,TV Show,Title_53,Christopher Nolan,United States,4/11/2015,2017,PG-13,5 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1054,Movie,Title_54,Unknown,United Kingdom,1/5/2022,2004,TV-MA,180 min,Documentary,A documentary themed movie exploring unique stories.
s1055,TV Show,Title_55,Anurag Kashyap,India,11/15/2019,2019,PG,8 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1056,TV Show,Title_56,Unknown,Japan,6/25/2015,2019,PG-13,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1057,Movie,Title_57,Unknown,Canada,8/26/2015,2008,TV-14,151 min,Comedy,A comedy themed movie exploring unique stories.
s1058,Movie,Title_58,Anurag Kashyap,Japan,2/5/2023,2010,TV-14,107 min,Comedy,A comedy themed movie exploring unique stories.
s1059,Movie,Title_59,Unknown,South Korea,7/28/2023,2023,TV-14,65 min,Comedy,A comedy themed movie exploring unique stories.
s1060,Movie,Title_60,Christopher Nolan,United States,1/27/2018,2021,PG-13,79 min,Action,A action themed movie exploring unique stories.
s1061,Movie,Title_61,Zoya Akhtar,Japan,12/28/2022,2000,PG-13,60 min,Thriller,A thriller themed movie exploring unique stories.
s1062,Movie,Title_62,Anurag Kashyap,United States,5/31/2020,2017,PG-13,138 min,Comedy,A comedy themed movie exploring unique stories.
s1063,Movie,Title_63,Sanjay Leela Bhansali,Japan,12/17/2021,2005,TV-MA,126 min,Comedy,A comedy themed movie exploring unique stories.
s1064,Movie,Title_64,Unknown,India,3/14/2023,2001,TV-G,138 min,Documentary,A documentary themed movie exploring unique stories.
s1065,TV Show,Title_65,Anurag Kashyap,India,6/26/2020,2014,TV-MA,3 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1066,TV Show,Title_66,Raj Kumar,India,3/18/2019,2020,TV-14,5 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1067,Movie,Title_67,Raj Kumar,India,1/24/2017,2013,TV-G,122 min,Drama,A drama themed movie exploring unique stories.
s1068,TV Show,Title_68,Zoya Akhtar,India,3/22/2024,2004,R,6 Seasons,Action,A action themed tv show exploring unique stories.
s1069,TV Show,Title_69,Christopher Nolan,India,3/8/2021,2005,TV-14,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1070,TV Show,Title_70,Zoya Akhtar,United States,2/20/2018,2005,PG,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1071,TV Show,Title_71,Zoya Akhtar,Canada,1/14/2024,2021,TV-MA,6 Seasons,Action,A action themed tv show exploring unique stories.
s1072,Movie,Title_72,Zoya Akhtar,Japan,11/12/2018,2017,PG-13,131 min,Comedy,A comedy themed movie exploring unique stories.
s1073,TV Show,Title_73,Zoya Akhtar,India,5/20/2015,2013,TV-MA,7 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1074,Movie,Title_74,Sanjay Leela Bhansali,United States,6/24/2016,2009,PG-13,138 min,Romance,A romance themed movie exploring unique stories.
s1075,TV Show,Title_75,Sanjay Leela Bhansali,United States,11/15/2018,2013,TV-G,1 Seasons,Romance,A romance themed tv show exploring unique stories.
s1076,TV Show,Title_76,Anurag Kashyap,United States,9/27/2015,2012,PG,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1077,TV Show,Title_77,Raj Kumar,Canada,11/1/2017,2002,TV-G,2 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1078,Movie,Title_78,Zoya Akhtar,Japan,3/5/2020,2005,PG,179 min,Drama,A drama themed movie exploring unique stories.
s1079,TV Show,Title_79,Anurag Kashyap,Canada,6/22/2024,2007,TV-MA,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1080,Movie,Title_80,Raj Kumar,United Kingdom,5/1/2024,2011,PG-13,128 min,Action,A action themed movie exploring unique stories.
s1081,TV Show,Title_81,Unknown,United States,5/20/2016,2012,TV-G,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1082,Movie,Title_82,Christopher Nolan,United Kingdom,2/3/2018,2010,PG,163 min,Thriller,A thriller themed movie exploring unique stories.
s1083,TV Show,Title_83,Sanjay Leela Bhansali,South Korea,9/10/2020,2011,TV-14,5 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1084,Movie,Title_84,Unknown,India,8/12/2023,2000,TV-14,164 min,Documentary,A documentary themed movie exploring unique stories.
s1085,Movie,Title_85,Raj Kumar,India,11/17/2023,2016,TV-G,150 min,Action,A action themed movie exploring unique stories.
s1086,TV Show,Title_86,Unknown,Canada,2/16/2020,2015,PG-13,3 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1087,Movie,Title_87,Christopher Nolan,Japan,12/28/2017,2010,TV-G,84 min,Documentary,A documentary themed movie exploring unique stories.
s1088,TV Show,Title_88,Raj Kumar,United Kingdom,3/23/2017,2012,TV-MA,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1089,TV Show,Title_89,Unknown,Japan,12/28/2015,2017,PG,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1090,TV Show,Title_90,Sanjay Leela Bhansali,Canada,12/27/2018,2010,TV-MA,5 Seasons,Drama,A drama themed tv show exploring unique stories.
s1091,TV Show,Title_91,Sanjay Leela Bhansali,India,7/17/2017,2011,TV-14,3 Seasons,Drama,A drama themed tv show exploring unique stories.
s1092,TV Show,Title_92,Anurag Kashyap,Japan,4/10/2015,2005,PG,6 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1093,TV Show,Title_93,Unknown,Japan,8/9/2019,2008,TV-G,7 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1094,TV Show,Title_94,Zoya Akhtar,India,8/18/2020,2015,TV-MA,5 Seasons,Drama,A drama themed tv show exploring unique stories.
s1095,TV Show,Title_95,Unknown,United Kingdom,12/24/2024,2003,R,6 Seasons,Action,A action themed tv show exploring unique stories.
s1096,TV Show,Title_96,Raj Kumar,India,7/7/2022,2002,PG-13,1 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1097,TV Show,Title_97,Raj Kumar,Japan,11/18/2017,2015,PG-13,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1098,TV Show,Title_98,Unknown,United Kingdom,9/21/2023,2023,R,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1099,Movie,Title_99,Christopher Nolan,United Kingdom,11/14/2021,2024,TV-14,60 min,Romance,A romance themed movie exploring unique stories.
s1100,Movie,Title_100,Sanjay Leela Bhansali,India,7/9/2017,2011,PG,151 min,Documentary,A documentary themed movie exploring unique stories.
s1101,TV Show,Title_101,Raj Kumar,Japan,10/20/2023,2010,PG-13,6 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1102,TV Show,Title_102,Sanjay Leela Bhansali,Canada,9/3/2021,2004,R,3 Seasons,Action,A action themed tv show exploring unique stories.
s1103,TV Show,Title_103,Raj Kumar,Japan,9/23/2016,2024,TV-G,6 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1104,TV Show,Title_104,Anurag Kashyap,United States,11/12/2016,2017,R,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1105,TV Show,Title_105,Zoya Akhtar,South Korea,1/13/2021,2018,TV-14,4 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1106,TV Show,Title_106,Raj Kumar,Canada,7/10/2021,2022,TV-14,5 Seasons,Drama,A drama themed tv show exploring unique stories.
s1107,TV Show,Title_107,Sanjay Leela Bhansali,United Kingdom,4/26/2021,2022,TV-MA,3 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1108,TV Show,Title_108,Anurag Kashyap,Canada,10/30/2020,2005,PG-13,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1109,Movie,Title_109,Raj Kumar,United Kingdom,1/23/2017,2021,TV-MA,99 min,Drama,A drama themed movie exploring unique stories.
s1110,TV Show,Title_110,Christopher Nolan,United Kingdom,1/4/2019,2017,R,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1111,Movie,Title_111,Zoya Akhtar,Canada,11/18/2023,2005,PG,100 min,Comedy,A comedy themed movie exploring unique stories.
s1112,TV Show,Title_112,Raj Kumar,United Kingdom,1/16/2024,2003,PG,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1113,TV Show,Title_113,Anurag Kashyap,United Kingdom,12/20/2016,2011,TV-14,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1114,Movie,Title_114,Christopher Nolan,United States,3/16/2015,2018,PG,143 min,Documentary,A documentary themed movie exploring unique stories.
s1115,TV Show,Title_115,Unknown,Japan,7/17/2018,2001,PG,2 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1116,Movie,Title_116,Anurag Kashyap,Japan,4/6/2020,2016,PG,113 min,Drama,A drama themed movie exploring unique stories.
s1117,TV Show,Title_117,Anurag Kashyap,South Korea,4/27/2022,2010,R,1 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1118,TV Show,Title_118,Christopher Nolan,South Korea,3/3/2015,2010,PG,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1119,Movie,Title_119,Anurag Kashyap,United States,5/23/2017,2020,TV-G,177 min,Thriller,A thriller themed movie exploring unique stories.
s1120,TV Show,Title_120,Christopher Nolan,South Korea,11/16/2015,2015,PG,7 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1121,Movie,Title_121,Raj Kumar,Canada,11/19/2020,2001,PG,99 min,Drama,A drama themed movie exploring unique stories.
s1122,TV Show,Title_122,Christopher Nolan,India,12/23/2018,2001,TV-MA,5 Seasons,Action,A action themed tv show exploring unique stories.
s1123,Movie,Title_123,Christopher Nolan,India,5/23/2017,2022,R,130 min,Comedy,A comedy themed movie exploring unique stories.
s1124,Movie,Title_124,Zoya Akhtar,India,10/12/2019,2007,TV-14,139 min,Thriller,A thriller themed movie exploring unique stories.
s1125,TV Show,Title_125,Christopher Nolan,United States,3/21/2023,2012,TV-MA,3 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1126,TV Show,Title_126,Christopher Nolan,United States,4/21/2021,2009,PG-13,8 Seasons,Romance,A romance themed tv show exploring unique stories.
s1127,Movie,Title_127,Unknown,United Kingdom,4/5/2019,2007,R,93 min,Drama,A drama themed movie exploring unique stories.
s1128,TV Show,Title_128,Raj Kumar,India,3/2/2022,2003,TV-G,1 Seasons,Action,A action themed tv show exploring unique stories.
s1129,TV Show,Title_129,Zoya Akhtar,Canada,4/22/2015,2014,R,2 Seasons,Romance,A romance themed tv show exploring unique stories.
s1130,TV Show,Title_130,Unknown,South Korea,4/21/2023,2000,PG-13,3 Seasons,Romance,A romance themed tv show exploring unique stories.
s1131,Movie,Title_131,Sanjay Leela Bhansali,Canada,4/7/2024,2010,PG-13,168 min,Documentary,A documentary themed movie exploring unique stories.
s1132,Movie,Title_132,Raj Kumar,South Korea,5/4/2023,2006,PG-13,77 min,Romance,A romance themed movie exploring unique stories.
s1133,Movie,Title_133,Raj Kumar,India,4/5/2016,2016,TV-14,75 min,Drama,A drama themed movie exploring unique stories.
s1134,Movie,Title_134,Sanjay Leela Bhansali,India,7/18/2022,2019,PG,109 min,Thriller,A thriller themed movie exploring unique stories.
s1135,Movie,Title_135,Christopher Nolan,India,6/5/2017,2023,R,148 min,Drama,A drama themed movie exploring unique stories.
s1136,Movie,Title_136,Unknown,United States,9/3/2024,2017,PG,148 min,Thriller,A thriller themed movie exploring unique stories.
s1137,Movie,Title_137,Anurag Kashyap,South Korea,1/20/2018,2021,PG,66 min,Romance,A romance themed movie exploring unique stories.
s1138,Movie,Title_138,Zoya Akhtar,United States,12/11/2017,2021,TV-G,144 min,Romance,A romance themed movie exploring unique stories.
s1139,Movie,Title_139,Anurag Kashyap,United States,6/3/2016,2011,PG-13,72 min,Action,A action themed movie exploring unique stories.
s1140,TV Show,Title_140,Sanjay Leela Bhansali,Japan,3/22/2017,2008,TV-14,7 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1141,Movie,Title_141,Raj Kumar,Canada,9/5/2023,2004,TV-G,113 min,Romance,A romance themed movie exploring unique stories.
s1142,TV Show,Title_142,Raj Kumar,Canada,4/2/2021,2009,TV-MA,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1143,TV Show,Title_143,Zoya Akhtar,United Kingdom,4/8/2020,2003,TV-14,2 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1144,TV Show,Title_144,Raj Kumar,United States,6/7/2024,2004,PG,8 Seasons,Action,A action themed tv show exploring unique stories.
s1145,Movie,Title_145,Raj Kumar,South Korea,5/24/2019,2009,TV-14,90 min,Drama,A drama themed movie exploring unique stories.
s1146,Movie,Title_146,Zoya Akhtar,Japan,7/15/2017,2010,PG-13,96 min,Action,A action themed movie exploring unique stories.
s1147,Movie,Title_147,Unknown,Japan,7/10/2016,2020,TV-MA,157 min,Comedy,A comedy themed movie exploring unique stories.
s1148,Movie,Title_148,Unknown,Canada,5/20/2022,2023,PG-13,121 min,Thriller,A thriller themed movie exploring unique stories.
s1149,TV Show,Title_149,Zoya Akhtar,United States,3/31/2021,2009,TV-MA,1 Seasons,Drama,A drama themed tv show exploring unique stories.
s1150,Movie,Title_150,Sanjay Leela Bhansali,United Kingdom,11/21/2017,2007,TV-G,146 min,Drama,A drama themed movie exploring unique stories.
s1151,Movie,Title_151,Raj Kumar,United States,3/14/2024,2001,PG,129 min,Thriller,A thriller themed movie exploring unique stories.
s1152,Movie,Title_152,Raj Kumar,India,8/1/2016,2022,TV-MA,91 min,Action,A action themed movie exploring unique stories.
s1153,Movie,Title_153,Sanjay Leela Bhansali,United States,6/25/2016,2007,TV-MA,102 min,Romance,A romance themed movie exploring unique stories.
s1154,Movie,Title_154,Unknown,India,12/1/2020,2015,TV-MA,177 min,Action,A action themed movie exploring unique stories.
s1155,TV Show,Title_155,Christopher Nolan,India,3/1/2021,2021,TV-14,7 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1156,Movie,Title_156,Christopher Nolan,United Kingdom,11/18/2017,2004,TV-G,115 min,Documentary,A documentary themed movie exploring unique stories.
s1157,TV Show,Title_157,Christopher Nolan,South Korea,5/14/2022,2024,TV-14,2 Seasons,Romance,A romance themed tv show exploring unique stories.
s1158,Movie,Title_158,Unknown,Canada,4/18/2016,2002,PG,179 min,Action,A action themed movie exploring unique stories.
s1159,TV Show,Title_159,Unknown,United States,7/7/2022,2011,TV-MA,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1160,Movie,Title_160,Sanjay Leela Bhansali,India,4/19/2021,2012,TV-G,169 min,Documentary,A documentary themed movie exploring unique stories.
s1161,Movie,Title_161,Raj Kumar,United States,6/23/2017,2012,TV-G,144 min,Thriller,A thriller themed movie exploring unique stories.
s1162,TV Show,Title_162,Sanjay Leela Bhansali,South Korea,4/29/2020,2009,R,1 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1163,TV Show,Title_163,Sanjay Leela Bhansali,Canada,1/21/2016,2003,PG,7 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1164,TV Show,Title_164,Unknown,South Korea,3/3/2015,2008,TV-G,3 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1165,Movie,Title_165,Christopher Nolan,Canada,5/29/2016,2021,TV-MA,138 min,Romance,A romance themed movie exploring unique stories.
s1166,TV Show,Title_166,Anurag Kashyap,Japan,3/5/2016,2023,TV-MA,6 Seasons,Drama,A drama themed tv show exploring unique stories.
s1167,Movie,Title_167,Raj Kumar,Canada,8/2/2016,2022,TV-G,75 min,Romance,A romance themed movie exploring unique stories.
s1168,Movie,Title_168,Unknown,United Kingdom,4/10/2019,2001,TV-14,74 min,Action,A action themed movie exploring unique stories.
s1169,TV Show,Title_169,Christopher Nolan,South Korea,3/10/2018,2018,PG,2 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1170,TV Show,Title_170,Anurag Kashyap,India,8/22/2022,2000,TV-MA,5 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1171,Movie,Title_171,Anurag Kashyap,Japan,8/16/2018,2024,TV-G,167 min,Drama,A drama themed movie exploring unique stories.
s1172,Movie,Title_172,Unknown,United Kingdom,6/15/2022,2006,TV-MA,150 min,Action,A action themed movie exploring unique stories.
s1173,TV Show,Title_173,Zoya Akhtar,United States,6/16/2021,2016,TV-G,8 Seasons,Drama,A drama themed tv show exploring unique stories.
s1174,TV Show,Title_174,Raj Kumar,South Korea,4/15/2016,2002,PG,8 Seasons,Documentary,A documentary themed tv show exploring unique stories.
s1175,TV Show,Title_175,Anurag Kashyap,India,11/17/2018,2019,TV-G,4 Seasons,Romance,A romance themed tv show exploring unique stories.
s1176,Movie,Title_176,Unknown,Canada,7/24/2019,2019,R,87 min,Comedy,A comedy themed movie exploring unique stories.
s1177,Movie,Title_177,Unknown,India,1/8/2019,2020,TV-G,178 min,Documentary,A documentary themed movie exploring unique stories.
s1178,Movie,Title_178,Christopher Nolan,United States,3/19/2017,2002,TV-G,71 min,Thriller,A thriller themed movie exploring unique stories.
s1179,Movie,Title_179,Zoya Akhtar,Japan,6/21/2015,2002,PG,164 min,Comedy,A comedy themed movie exploring unique stories.
s1180,Movie,Title_180,Raj Kumar,Japan,3/8/2022,2016,TV-G,145 min,Documentary,A documentary themed movie exploring unique stories.
s1181,Movie,Title_181,Sanjay Leela Bhansali,South Korea,1/31/2015,2006,PG,180 min,Romance,A romance themed movie exploring unique stories.
s1182,TV Show,Title_182,Christopher Nolan,Japan,2/16/2015,2013,R,4 Seasons,Drama,A drama themed tv show exploring unique stories.
s1183,Movie,Title_183,Anurag Kashyap,South Korea,5/10/2015,2016,PG,131 min,Comedy,A comedy themed movie exploring unique stories.
s1184,Movie,Title_184,Anurag Kashyap,South Korea,7/27/2021,2017,TV-MA,113 min,Romance,A romance themed movie exploring unique stories.
s1185,Movie,Title_185,Christopher Nolan,South Korea,9/4/2017,2012,PG,172 min,Action,A action themed movie exploring unique stories.
s1186,TV Show,Title_186,Unknown,Canada,7/4/2019,2019,R,6 Seasons,Thriller,A thriller themed tv show exploring unique stories.
s1187,Movie,Title_187,Anurag Kashyap,United Kingdom,5/24/2019,2019,PG-13,161 min,Comedy,A comedy themed movie exploring unique stories.
s1188,Movie,Title_188,Zoya Akhtar,South Korea,2/27/2015,2020,TV-G,159 min,Drama,A drama themed movie exploring unique stories.
s1189,TV Show,Title_189,Raj Kumar,South Korea,2/3/2018,2017,PG,4 Seasons,Action,A action themed tv show exploring unique stories.
s1190,Movie,Title_190,Zoya Akhtar,United Kingdom,10/30/2022,2003,TV-G,169 min,Romance,A romance themed movie exploring unique stories.
s1191,Movie,Title_191,Anurag Kashyap,India,9/15/2018,2000,TV-14,126 min,Thriller,A thriller themed movie exploring unique stories.
s1192,Movie,Title_192,Sanjay Leela Bhansali,South Korea,2/6/2017,2017,TV-MA,104 min,Drama,A drama themed movie exploring unique stories.
s1193,Movie,Title_193,Raj Kumar,Canada,11/13/2016,2000,TV-MA,136 min,Romance,A romance themed movie exploring unique stories.
s1194,Movie,Title_194,Raj Kumar,Japan,6/16/2024,2012,TV-14,69 min,Romance,A romance themed movie exploring unique stories.
s1195,TV Show,Title_195,Christopher Nolan,Japan,7/1/2020,2019,TV-14,5 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1196,TV Show,Title_196,Christopher Nolan,United States,11/8/2023,2019,PG,8 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1197,TV Show,Title_197,Sanjay Leela Bhansali,United States,5/3/2023,2022,TV-14,2 Seasons,Drama,A drama themed tv show exploring unique stories.
s1198,Movie,Title_198,Unknown,Japan,5/22/2021,2009,PG-13,180 min,Documentary,A documentary themed movie exploring unique stories.
s1199,Movie,Title_199,Raj Kumar,Japan,8/9/2023,2010,TV-G,83 min,Documentary,A documentary themed movie exploring unique stories.
s1200,Movie,Title_200,Sanjay Leela Bhansali,Canada,11/26/2019,2008,TV-G,110 min,Romance,A romance themed movie exploring unique stories.
s1201,TV Show,Title_201,Christopher Nolan,United Kingdom,1/17/2019,2008,R,6 Seasons,Comedy,A comedy themed tv show exploring unique stories.
s1202,Movie,Title_202,Christopher Nolan,United States,6/4/2017,2004,TV-14,167 min,Thriller,A thriller themed movie exploring unique stories.
s1203,Movie,Title_203,Raj Kumar,United Kingdom,12/17/2024,2000,TV-14,175 min,Thriller,A thriller themed movie exploring unique stories.
